StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q6,Q16,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q10_1,Q20,Q20_3_TEXT,Q1,Q2,Q3,Q4,Q5,ImageShown
13/02/25 17:59,13/02/25 18:06,IP Address,148.63.49.163,100,461,TRUE,13/02/25 18:06,R_2QDmIlPfxpnYMxw,,,,,38.7521,-9.2279,anonymous,EN,6-10 times a year,2-4 hours,1,2,5,4,3,1,5,3,4,2,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,5,Other:,Netherlands,Female,25-34,Masters or equivalent,Student,Less than 1500 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 17:57,13/02/25 18:08,IP Address,91.35.207.50,100,642,TRUE,13/02/25 18:08,R_8rCEOFRwYyqNEtt,,,,,53.5824,9.7025,anonymous,EN,2-5 times a year,More than 6 hours,1,4,2,3,5,5,3,1,4,2,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,25,Germany,,Male,65+,Doctorate or equivalent,Full time worker,12000+ euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 18:32,13/02/25 18:34,IP Address,172.225.163.63,100,144,TRUE,13/02/25 18:34,R_85g17BgViRZPaQV,,,,,41.1459,-8.6169,anonymous,EN,2-5 times a year,2-4 hours,2,1,3,4,5,2,1,4,3,5,Strongly Disagree,Agree,Agree,Diasagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,8,Portugal,,Female,18-24,Masters or equivalent,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 18:32,13/02/25 18:36,IP Address,85.246.157.73,100,250,TRUE,13/02/25 18:36,R_8Krb2lQmTsUNrpP,,,,,38.7219,-9.1398,anonymous,EN,2-5 times a year,2-4 hours,1,2,3,5,4,1,4,2,3,5,Diasagree,Neither Agree nor Disagree,Diasagree,Diasagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,0,Portugal,,Male,18-24,Masters or equivalent,Full time worker,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 18:50,13/02/25 18:54,IP Address,86.13.121.162,100,238,TRUE,13/02/25 18:54,R_2wqSQpzPPSOcIj7,,,,,51.4126,-0.3086,anonymous,EN,6-10 times a year,4-6 hours,1,2,3,4,5,1,3,2,4,5,Diasagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,15,Germany,,Prefer not to say,18-24,Bachelor's or equivalent,Part-time worker/Intern,Less than 1500 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 19:02,13/02/25 19:06,IP Address,153.94.17.181,100,235,TRUE,13/02/25 19:06,R_87O5PPwN7Qa186q,,,,,49.6113,6.1294,anonymous,EN,More than 10 times a year,2-4 hours,1,2,4,5,3,1,2,3,4,5,Diasagree,Agree,Diasagree,Strongly Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,0,Portugal,,Female,25-34,Masters or equivalent,Full time worker,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 17:21,13/02/25 19:13,IP Address,87.103.17.199,100,6703,TRUE,13/02/25 19:13,R_2FExhtK4mKk7Js4,,,,,38.7219,-9.1398,anonymous,EN,Never,Less than 1 hour,1,2,3,4,5,1,2,4,5,3,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,24,Portugal,,Non-binary,25-34,High School/Senior High,Unemployed/Housewife,Less than 1500 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 19:13,13/02/25 19:15,IP Address,87.103.17.199,100,116,TRUE,13/02/25 19:15,R_8hWtWjf2pCLJu4p,,,,,38.7219,-9.1398,anonymous,EN,Never,Less than 1 hour,2,3,4,1,5,3,1,2,5,4,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,4,Portugal,,Non-binary,25-34,High School/Senior High,Retired,Less than 1500 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 19:26,13/02/25 19:32,IP Address,80.187.81.160,100,365,TRUE,13/02/25 19:32,R_8M0sKCXfWbvFSyS,,,,,48.1475,11.5865,anonymous,EN,2-5 times a year,2-4 hours,2,1,3,4,5,3,4,1,5,2,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,10,Germany,,Male,25-34,Bachelor's or equivalent,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 22:06,13/02/25 22:10,IP Address,82.113.0.136,100,239,TRUE,13/02/25 22:10,R_2WvCotbBXyM58OY,,,,,43.7304,7.4191,anonymous,EN,More than 10 times a year,1-2 hours,3,1,2,4,5,2,4,1,3,5,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,Germany,,Male,25-34,Bachelor's or equivalent,Full time worker,8000 to 11999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 22:29,13/02/25 22:33,IP Address,45.165.103.103,100,235,TRUE,13/02/25 22:33,R_1FHevyYGNeSSy7D,,,,,-22.9072,-43.1883,anonymous,EN,2-5 times a year,4-6 hours,1,2,3,5,4,3,4,1,2,5,Strongly Disagree,Diasagree,Diasagree,Diasagree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,0,Other:,Brazil,Female,18-24,College/University,Full time worker,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
14/02/25 08:58,14/02/25 09:05,IP Address,180.189.162.135,100,417,TRUE,14/02/25 09:05,R_9nE5hmnS8jZKxFv,,,,,-8.7541,126.6831,anonymous,PT,2-5 times a year,More than 6 hours,2,1,3,4,5,3,2,1,4,5,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,8,Portugal,,Female,55-64,Bachelor's or equivalent,Full time worker,8000 to 11999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:02,14/02/25 09:06,IP Address,158.162.216.196,100,244,TRUE,14/02/25 09:06,R_2Sq2qPxAzXQ6x7m,,,,,38.7219,-9.1398,anonymous,PT,2-5 times a year,1-2 hours,1,2,3,5,4,5,3,1,2,4,Diasagree,Diasagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,10,Portugal,,Male,18-24,Masters or equivalent,Student,5000 euros to 7999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
14/02/25 09:03,14/02/25 09:06,IP Address,94.252.75.74,100,174,TRUE,14/02/25 09:06,R_824Rg3aPgMwExdb,,,,,49.6113,6.1294,anonymous,PT,6-10 times a year,2-4 hours,2,1,4,5,3,2,4,1,3,5,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,12,Portugal,,Male,25-34,Masters or equivalent,Full time worker,8000 to 11999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:04,14/02/25 09:07,IP Address,158.162.197.115,100,191,TRUE,14/02/25 09:07,R_2E6Mjrc52mRnquD,,,,,38.7219,-9.1398,anonymous,EN,2-5 times a year,2-4 hours,2,1,4,5,3,1,3,2,4,5,Diasagree,Diasagree,Diasagree,Diasagree,Diasagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,0,Portugal,,Male,18-24,Bachelor's or equivalent,Student,12000+ euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:04,14/02/25 09:08,IP Address,31.22.201.158,100,215,TRUE,14/02/25 09:08,R_2dLCr2yiPb3ouHa,,,,,38.7219,-9.1398,anonymous,PT,2-5 times a year,2-4 hours,1,2,3,4,5,1,3,4,2,5,Neither Agree nor Disagree,Neither Agree nor Disagree,Diasagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,20,Portugal,,Male,18-24,College/University,Full time worker,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:02,14/02/25 09:08,IP Address,158.162.201.109,100,362,TRUE,14/02/25 09:08,R_8ptn8UOBEw52muC,,,,,38.7219,-9.1398,anonymous,PT,Once a year or less,2-4 hours,1,2,3,4,5,1,3,5,2,4,Diasagree,Agree,Neither Agree nor Disagree,Diasagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,15,Portugal,,Female,18-24,Bachelor's or equivalent,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:03,14/02/25 09:10,IP Address,194.38.132.206,100,392,TRUE,14/02/25 09:10,R_8qgCqu3XjOwugvr,,,,,38.6847,-9.3332,anonymous,EN,2-5 times a year,2-4 hours,1,2,3,5,4,1,4,2,3,5,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,4,Portugal,,Male,18-24,Masters or equivalent,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 18:14,14/02/25 09:12,IP Address,95.136.16.248,100,53852,TRUE,14/02/25 09:12,R_8K6Vk36s2U4kI1G,,,,,38.7219,-9.1398,anonymous,EN,2-5 times a year,2-4 hours,1,2,3,5,4,1,2,3,4,5,Diasagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,5,Portugal,,Male,18-24,Bachelor's or equivalent,Student,5000 euros to 7999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:10,14/02/25 09:13,IP Address,87.196.73.205,100,214,TRUE,14/02/25 09:13,R_8YqQiEZBGvPLK4a,,,,,38.7219,-9.1398,anonymous,PT,Once a year or less,1-2 hours,1,4,3,5,2,2,1,3,4,5,Neither Agree nor Disagree,Agree,Diasagree,Diasagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,6,Portugal,,Male,18-24,High School/Senior High,Student,Less than 1500 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
14/02/25 09:11,14/02/25 09:14,IP Address,85.10.104.52,100,170,TRUE,14/02/25 09:14,R_8HbDqCIIx7U8GpX,,,,,49.6113,6.1294,anonymous,EN,2-5 times a year,More than 6 hours,1,2,3,4,5,2,5,1,4,3,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,19,Other:,USA,Male,25-34,Bachelor's or equivalent,Full time worker,8000 to 11999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
14/02/25 09:13,14/02/25 09:16,IP Address,87.196.74.135,100,156,TRUE,14/02/25 09:16,R_2CpOvphwe55dGp4,,,,,41.2346,-8.6183,anonymous,PT,2-5 times a year,1-2 hours,1,2,3,5,4,3,2,1,4,5,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,12,Portugal,,Male,18-24,College/University,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
14/02/25 09:11,14/02/25 09:17,IP Address,172.225.188.21,100,314,TRUE,14/02/25 09:17,R_2Y55yTdHpDVLada,,,,,49.6113,6.1294,anonymous,EN,2-5 times a year,2-4 hours,2,1,5,4,3,3,2,1,4,5,Neither Agree nor Disagree,Diasagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,0,Other:,the UK ,Male,25-34,Masters or equivalent,Full time worker,5000 euros to 7999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:15,14/02/25 09:18,IP Address,80.92.74.42,100,146,TRUE,14/02/25 09:18,R_8fkNehTn7LtmJXc,,,,,49.6113,6.1294,anonymous,EN,6-10 times a year,2-4 hours,3,1,2,4,5,1,2,4,3,5,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,20,Other:,Luxembourg,Female,25-34,Masters or equivalent,Full time worker,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:16,14/02/25 09:20,IP Address,83.223.227.105,100,223,TRUE,14/02/25 09:20,R_2Lz0aAXibTK0cj7,,,,,41.1459,-8.6169,anonymous,PT,Once a year or less,2-4 hours,1,2,3,5,4,1,5,2,3,4,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,20,Portugal,,Male,18-24,College/University,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:05,14/02/25 09:20,IP Address,158.162.209.55,100,870,TRUE,14/02/25 09:20,R_2PhRRic4CCuKLHX,,,,,38.7219,-9.1398,anonymous,PT,2-5 times a year,4-6 hours,1,2,3,5,4,1,3,5,2,4,Strongly Disagree,Strongly Agree,Diasagree,Strongly Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,0,Portugal,,Female,18-24,Bachelor's or equivalent,Student,12000+ euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
14/02/25 09:05,14/02/25 09:20,IP Address,85.138.201.68,100,904,TRUE,14/02/25 09:20,R_80Zr2UICqkPeOVQ,,,,,38.8691,-9.0656,anonymous,EN,Once a year or less,2-4 hours,2,1,5,3,4,1,2,5,4,3,Diasagree,Agree,Agree,Diasagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,20,Portugal,,Female,18-24,Bachelor's or equivalent,Full time worker,Less than 1500 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
14/02/25 09:15,14/02/25 09:20,IP Address,31.22.144.20,100,276,TRUE,14/02/25 09:20,R_8zu5aiWUnAGrLUK,,,,,38.7219,-9.1398,anonymous,PT,Once a year or less,2-4 hours,1,2,3,4,5,1,2,4,3,5,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,13,Other:,Portugal ,Male,18-24,High School/Senior High,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
14/02/25 09:17,14/02/25 09:21,IP Address,87.196.73.32,100,184,TRUE,14/02/25 09:21,R_2PBaby13zupqhBV,,,,,38.7219,-9.1398,anonymous,PT,Once a year or less,2-4 hours,4,2,1,5,3,2,4,1,3,5,Neither Agree nor Disagree,Agree,Diasagree,Diasagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,4,Portugal,,Female,18-24,College/University,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
